,Sentence,Target
2411,"Appellant said he lived in Fort Worth, and gave the number of a certain street as his address which appears on the rental agreement.",Facts
110,"The Government further contends that such documents are hearsay, violate the Best Evidence Rule, and are not properly authenticated.",Analysis
2041,"â€œNow, therefore, I instruct you that if you find and believe from the evidence beyond a reasonable doubt that the Defendant, Lloyd Madison Stewart, as charged in the indictment, in the County of Dallas, and the State of Texas, on or about the 17th day of December, 1960,",Facts
2134,Among these cases are Wooley v.,Invalid
381,"In response, the defendant argues that he was concerned that he might lose his job if he refused to answer certain questions and that he was afraid that he would be arrested if he left the office.",Facts
1766,They drove their victimâ€™s car to the side street and transferred to appellantâ€™s automobile.,Facts
1233,Out there in the back yard.,Facts
1369,The Harris County medical examiner testified that his examination revealed the cause of death as being a fractured skull.,Facts
3274,"State, supra, the allegation that the whiskey was transported in a “2 door” automobile was descriptive of the identity of the unlawful act of which the accused was convicted and could not be rejected as surplusage.",Analysis
514,"505, 188 S.W. 2d 578, upon which appellant relies, the check which was set forth in the indictment called for two different sums, to-wit â€œ100 Dollarsâ€ and â€œ$30.00â€, and this Court held the trial court erred in failing to sustain a motion to quash because of the absence of innuendo averments as to what sum was intended.",Invalid
2590,"Appellant was convicted in the corporation court of the City of Del Rio, Val Verde County, for the offense of unlawfully plac",Facts
3052,"Appellant complains of the identification of the fifteen cases of wine, of the testimony as to the label, “Gypsy Rose,” on the bottles of wine, and of the making of the search, complaining that the wine was found as a result of an unauthorized search.",Issue
3383,"The state’s other witness, Patrolman Clark, testified to substantially the same facts and expressed the same opinion as the first witness, Vinyard.",Facts
3220,Jailer Morris testified that in his opinion appellant was “drunk” when he was brought to jail.,Facts
1056,In view of our disposition of the case a summary of the facts is unnecessary.,Others
2380,"The offense is assault with intent to murder with malice; the punishment, 5 years.",Issue
2632,During the game Robert accused someone of taking $5 of his money.,Facts
2372,"The witness Hereford testified that for some time prior to the date charged in the indictment he had left an air conditioning unit stored in the hallway of an apartment house under his control ; that on the day in question he received a call, went to the apartment house and found the unit sitting on the front porch some forty feet from where it had been stored.",Facts
3357,The principal was charged by complaint in the justice court with robbery and required to give bond in the sum of $2500 for his appearance in the Criminal District Court of Tarrant County.,Facts
1972,"While such is the rule in this state, the Stateâ€™s",Invalid
106,"But we are not willing to speculate that they were not, nor should a defendant be asked to guess and be burdened with proving that he was.",Analysis
1548,The nature of the instrument used by appellant is of prime importance.,Others
1343,"Take a look in that box there, Thomas.â€",Facts
3447,We find no error in the action of the trial court in overruling the objection.,Analysis
2850,The jury chose-to resolve the disputed issue of intoxication against the appellant and we find the evidence sufficient to sustain its verdict.,Facts
2091,The indictment alleged that appellant did with malice aforethought kill Kathryn Fay Wilkerson by beating and striking her with a bottle.,Facts
1460,"The deceased, a 50 year old Latin American, 5 feet 6 inches in height and weighing 181 pounds, met his death in Houston shortly after 1:15 A.M. by being stabbed in the back.",Facts
1353,"That day she started having labor pains, and she testified that her â€œwater brokeâ€ in a â€œgushâ€.",Facts
1532,The jury resolved the issue of appellantâ€™s guilt in favor of the State and we find the evidence sufficient to sustain their verdict.,Analysis
2739,"Murder with malice is the offense, with punishment assessed at life imprisonment in the penitentiary.",Rule/Law/Holding
2114,Later he heard a noise in the room and when he went in he found his wife on the floor.,Facts
2359,"Mr. Jones and 16 year old Harley Wingo, another employee, were ordered to lie down with their faces to the floor and remain there under threat of being shot.",Facts
707,Appellant was convicted in the Criminal District Court of Jefferson County of the offense of bookmaking and his punishment assessed at confinement in the penitentiary for a term of two years.,Conclusion
2910,"The wife was sobbing and talking excitedly, saying that her husband was in the house.",Facts
1541,"The last time that he came was about the middle of May, 1961, when he did the same thing to her that he had done before.",Facts
1456,"The court, in his charge, gave effect to Art. 42 P.C. and instructed the jury: * * * if you believe from the evidence, beyond a reasonable doubt, that the Defendant, Walter Henry Mosley, on or about the 25th day of April, A.",Invalid
1041,In the case of Garcia v.,Invalid
3130,"By his first bill of exception, appellant contends that the trial court erred in overruling his exceptions and objections to the court’s charge, for the reason that the court failed “to charge the jury relative to the defensive matter and issue in this case,” and further complaint is made of the failure of the court to “instruct the jury relative to all of the issues involved in this case” and “to submit to the jury the defensive issues raised.”",Issue
3458,We shall not separately discuss the remaining bills of exception.,Others
2567,Appellant and his counsel both agreed and stipulated in open court to the taking of the deposition of this witness.,Facts
2394,He also testified that he fired a third shot which was also accidental.,Facts
2000,â€œ(2) Has paid no part of his court costs as instructed by the court.â€,Facts
223,Court ruled to reserve decision.,Others
3159,"He further testified that at appelant’s request, he and the other boys removed their clothes and the appellant took pictures of them m the nude, and while testifying, he identified two of the pictures of himself and the other boy which were later introduced in evidence during the cross-examination of the appellant.",Facts
287,"(Transcript, Exhibit 1 to Plaintiffs' Motion to compel.",Invalid
2434,It is insisted that this conviction cannot stand because it rests on a bailment made when the appellant was under 21 years of age.,Analysis
2087,The facts and circumstances in evidence are sufficient to warrant the juryâ€™s conclusion that the appellant possessed the barbituates as charged.,Conclusion
2461,"There is no statute in this state making such an act, per se, a penal offense.",Rule/Law/Holding
2103,He left and was gone about an hour.,Facts
621,Appellant Graves was the only appellant to testify and no other evidence was offered in their behalf.,Facts
1082,It is only shown that he was arrested for such during the term of his probation.,Facts
3405,The witness then testified that he assisted in taking appellant to jail.,Facts
3464,When I arrived I confessed to her what I had did.”,Facts
1329,Stateâ€™s counsel then inquired: Q.,Invalid
2551,A judgment nisi which does not contain this statutory provision is void and cannot be made the basis of a final judgment.,Rule/Law/Holding
1048,In the instant case the main fact sought to be proved was that appellant possessed the morphine in question.,Issue
2096,After his arrest appellant made a statement to City Detective Dhority which was introduced in evidence.,Facts
2367,It is contended that the arrest of appellant was unlawful and the evidence relating thereto and to the recovery of the fruits of the robbery was improperly admitted.,Issue
2213,"But appellant made no objection after the question was answered, and there is no showing as to why he chose to delay making his objection.",Analysis
160,Government Code Â§6500.12.,Rule/Law/Holding
364,Thus employees are freed to some extent from concern about individual liability which make them overly cautious about their actions being found negligent and adversely affect their function as employees.,Facts
2136,"Judge Davidson wrote the opinion of the court reversing the Borroum case, actually upon the failure of the trial court to grant a special requested charge, and while Judge Morrison concurred in the reversal of that conviction, he did so because of the introduction into the evidence",Invalid
858,Filer: No further questions.,Facts
3247,One Bill of Exception is found in the record.,Facts
3435,"Under the record, we find no error in admitting such testimony.",Analysis
583,All of the statements in the confession were consistent with guilt.,Analysis
2234,"These were the same boys, she stated, whom she had previously named as being with her on the steps and preventing her from going back downstairs, and that appellant was present.",Facts
3146,"Edward Sandies, the minor named in the information, a boy 14-years of age, testified that, on the night in question, he went to the place to buy a bottle of beer; that, when he arrived, he gave appellant a quarter and appellant brought him a bottle of beer.",Facts
1185,Officer Wagner testified that when he arrived at the home of the appellant she was in the kitchen and the body of the deceased was on the kitchen floor.,Facts
2634,Entry into the building was made through the roof by boring holes and removing a portion thereof.,Facts
2228,"Appellant told her to get in the car and they would take her to the place where he was supposed to be, drunk.",Facts
2281,"For this reason, the facts will have to be stated more fully than we would normally do.",Others
2464,"The offense is the unlawful possession of beer in a wet area for the purpose of sale without a license; the punishment, 60 days in jail and a fine of $500.",Issue
2459,The driving of an automobile across a double stripe and highway marker may or may not be an unlawful act.,Analysis
2773,Proof that appellant was acting as an agent for the Stateâ€™s witness Armstrong in the transaction did not render the evidence insufficient to sustain the conviction for unlawful possession of the heroin.,Analysis
2563,An examination of the deceasedâ€™s body by a physician revealed three gun shot wounds; two in the right abdomen and the third in the left buttock which entered from the back.,Facts
23,"But the statute is explicit in its statement that the grand jury proceedings are to be recorded, and no allowance is made for off-the-record discussions during the course of the grand jury proceedings.",Facts
1441,The convictions are for the misdemeanor offense of unlawful assembly under Arts.,Issue
1040,In the case of Cortez v.,Invalid
2190,"The statement of facts, not having been filed within the time provided by the statute, may not be considered.",Analysis
1288,She said' that the last time she felt life of the baby was when she left the office of the appellant.,Facts
1002,"If we properly construe appellantâ€™s brief, he now contends that the record raised an issue as to the voluntary nature of appellantâ€™s confession and that such question should have been submitted to the jury.",Issue
2240,"Appellant had duly filed his application for suspended sentence, with the affidavit in support thereof duly executed.",Facts
3370,"The record reflects that the county clerk of Smith County testified directly from the commissioners court records and read, completely, the order requiring the election prohibiting the sale of wine, the order declaring the results of said election, and the publication of the resuts of the election, giving the volume and page number of the minutes of the commissioners court wherein each of the orders appeared.",Facts
3382,"The state’s attorney before this court points out in his brief that this case is controlled, as contended by appellant, by the case of Hubbard v.",Invalid
1019,"In his motion for rehearing appellant insists that his Bill of Exception No. 2, which we did not discuss in our original opinion, presents reversible error because it certifies that he was denied the right to present to the jury evidence in support of his plea of former jeopardy.",Issue
2028,"â€œLadies and gentlemen of the Jury, donâ€™t you know that if you were stopped and you knew you were taking pills and you knew you werenâ€™t drunk and you were stopped by police officers and accused of drunk driving, wouldnâ€™t you say â€˜Officer, I have been taking pills, here they are.â€™ â€",Facts
32,(b) The transcript shall not be open to the public until ten days after the delivery to the defendant or his attorney.,Facts
2865,"The prior misdemeanor conviction was established, and the plea of guilty judgment in said cause was introduced.",Facts
3071,Appellant lived with his mother about one or one and one-half blocks from where the car was parked.,Facts
1641,The record reflects that the witness complied.,Facts
2365,"According to appellant, Mr. Jones and Harley Wingo were mistaken in their identification of him, and the officerâ€™s testimony as to his sitting on the curb with Robert Lopez, with the sack of money between them, was not true.",Facts
491,* * * On October 14th of this year I went to a gun shop on South Ervay Street and bought a .32 revolver.,Facts
2160,"The offense is driving while intoxicated; the punishment, 5 days in jail and a fine of $150.",Issue
2752,ON MOTION FOR REHEARING,Facts
2646,"He also filed another sworn answer and denial May 13, 1960.",Facts
69,"Reyes was returned to the Adult Main Facility on November 25, 1978.",Facts
2344,"Also included in the prison records were fingerprints of the convict named therein, Marion Earl Todd, No. 127645.",Facts
331,"However, rather than hear the motion to suppress, the Superior Court entertained an application to disqualify the Attorney General of Guam from acting as prosecutor in the case.",Facts
2042,"â€œOrdinarily a fair test of whether an instrument in writing alleged to be forged is the subject of forgery is: would the holder of same, if the same were true, be enabled to maintain or defeat a civil suit by such instrument?â€",Others
2545,"381, 271 S.W. 2d 663, in passing upon the question of jury misconduct directly growing out of the receipt of other testimony after retirement of the jury, it was held that this courtâ€™s primary concern was to determine whether or not the information received by the jury was untrue or was harmful to the appellant.",Rule/Law/Holding
3206,"It is contended that the arrest of appellant was unlawful, and that the search of the automobile as an incident to such unlawful arrest was unlawful and the evidence obtained thereby was inadmissible under Art. 727a V.A.C.C.P.",Issue
2301,The limitation period for the offense of sodomy is three years.,Rule/Law/Holding
533,A juror: â€œI donâ€™t think so.â€,Facts
3450,"We have carefully examined the record, and find no merit in any of appellant’s contention.",Analysis
2159,"C.C.P., the Governor of this State is authorized to recognize a requisition and issue his executive warrant of extradition when the demand is accompanied â€œby a copy of a judgment of conviction or of a sentence imposed in execution thereof, together with a statement by the Executive Authority of the demanding State that the person claimed has escaped from confinement or has broken the terms of his bail, probation or parole.â€",Invalid
2985,"What appellant conceives to be the missing proof is how the blood taken from appellantâ€™s arm got from the Emergency Room, where it was extracted, to the locked box in the Emergency Labratory some 30 or 40 fÃ©et away.",Facts
797,"By brief and oral argument, appellantâ€™s counsel urges a reversal of this cause on what he terms â€œequitable groundsâ€.",Issue
341,"The motion of defendants to vacate and set aside the Attachment issued by this Court, came on regularly for hearing the 28th day of July, 1972, David M. Shapiro, Esq., appearing for the plaintiff and Joaquin C. Arriola appearing for the defendants, and the Court, having heard the argument and statements of counsel, finds the facts as follows:",Facts
2840,"The indictment was presented by the grand jury into the Criminal District Court on October 21, 1959 and, in accordance with law,",Facts
1664,"The sole ground for reversal relates to argument of counsel for the state to the effect that there was no evidence other than the testimony of the appellant that he had taken or was under the influence of a drug; that appellant produced some pills which he testified he had been taking, but no testimony that he told anyone that night, and that no one confirmed his testimony that he had taken the pills.",Analysis
1733,There are no formal bills of exception or objections to the courtâ€™s charge and no brief has been filed on behalf of appellants.,Facts
3331,"The jury resolved the issue against appellant, and the evidence is sufficient to sustain the verdict.",Conclusion
676,Appellant predicates his appeal upon two contentions.,Issue
2737,"Mrs. Williams testified that he had a seizure a week before the trial; that about a month before the trial, and again three weeks later he cut his wrists; that he had been having epileptic seizures two years; that the last one was in the doctorâ€™s office and lasted 10 or 15 minutes; that he became unconscious when he had such seizures.",Facts
2992,"While the indictment charged the appellant in separate counts with both an unlawful sale and possession of the herion, the court submitted only the issue of unlawful possession to the jury.",Facts
1476,"The evidence shows that Dallas police officers, pursuant to a search warrant, entered an apartment in which appellant was present as a guest; that the apartment was rented by two girls, Billie Yvonne Coleman and Donnie Ray Stringfellow Ogle.",Facts
3312,"The evidence shows that appellant knew that his companions were going to rob the service station operator when they got out of his car, that he waited nearby to carry them to safety, and that he expected to share in the fruits of the robbery.",Facts
2675,He testified that later in the day he identified his four head of cattle at Houston Packing Company.,Facts
1558,"The offense is assault with intent to murder; the punishment, seven years.",Rule/Law/Holding
1622,"The question of the validity of a penal provision of the Election Code was not before the court in that case, and the same is not authority in the case at bar.",Analysis
1127,"Matthews further testified that appellant struck him three times with the knife; stabbed him; pulled it out and hit again, and he (Matthews) ran to the intersection and appellant ran after him; â€œI ran so fast he stumbled.",Facts
1150,"No reversible error appearing, the judgment is affirmed.",Conclusion
884,Ford never positively identified the shells.,Analysis
2842,"The informal bills of exception appearing have been examined, and we find no reversible error.",Facts
3377,The sole contention on appeal is that the indictment is fatally defective in that it attempts to allege theft by false pretext and fails to allege that the defendant did appropriate the automobile.,Issue
2815,The court submitted the issue of appellantâ€™s guilt to the jury under an appropriate instruction upon the law with reference to theft by false pretext.,Analysis
1828,"Under such record, the provisions of Sec.",Invalid
1005,"In Massoletti, the evidence reflected that whisky and vodka were found in the appellantâ€™s automobile.",Facts
1963,Whether the victim of the assault was a pedestrian or an occupant of a vehicle would not alter the rule that evidence as to the nature and extent of the injuries inflicted on the assaulted person is admissible regardless of the nature of the charge of aggravated assault contained in the indictment.,Analysis
2654,"He further testified that he did not see the deceased put his hand in Robertâ€™s pocket or rip the pocket off, and did not see any pistol on or near the deceased.",Facts
2416,"He further testified that he had previously rented a car from Hertz in Houston and drove it to Fort Worth and when the contract time for use of the car expired he went to the Hertz agency in Fort Worth and was informed that is was not necessary to get an extension and for that reason he did not believe it was necessary in this instance; that he was using the car while looking for employment, and at no time did he intend to convert the car to his own use but intended to return it.",Facts
2332,The judgment is reversed and the prosecution is ordered dismissed.,Conclusion
979,I am unable to agree that the statement of appellant to the officer was in the nature of a confession or that its admission in evidence is shown to be error.,Others
993,I used to live in this part of town and knew the area pretty good and thought I could get away easier.,Facts
2938,"This is an appeal by Chester A. Oehler, as a surety upon the appearance bond of William Hood, from a final judgment of",Facts
2384,"The appellant testified that he went with Fryerâ€™s wife, but that her husband â€œnever one single time ever caught us out any place or any drive-in movie and any - - or any act of doing wrong * * *",Invalid
147,"1065, 1136-37 (1979) (footnote omitted), as quoted in Commonwealth v. Butler 328 A.2d 851, 860 (Pa. 1974).",Rule/Law/Holding
1259,"Remaining convinced that proper disposition was made of this cause on original submission, appellantâ€™s motion for rehearing is overruled.",Conclusion
2379,Appellant did not testify in his own behalf and offered only the evidence that he had been incarcerated since his arrest.,Facts
2450,Among the conditions of probation'was that he â€œ(a) commit no offense against the laws of this or any other state or the United States;â€ and (c) that he â€œavoid persons or places of disreputable or harmful character.â€,Rule/Law/Holding
2911,"The witness Boswell testified that, while he was driving a gasoline tank truck and while halted at an intersection in obedience to a red light, an automobile ran into the rear of his truck; that he immediately went to investigate and found appellant seated in the driverâ€™s seat of the automobile which had collided with him.",Facts
2375,"Burnett and his wife testified that they were seated at their dining table in the apartment house in question on the day charged in the indictment and observed a 1952 De Soto automobile drive into the parking area at the rear of the building; that they observed it closely because Burnettâ€™s brother had an automobile of the same year and make; that two men, one of whom was appellant, got out of the automobile and walked toward the front of the apartment house.",Facts
1167,ON MOTION TO RE-INSTATE APPEAL,Invalid
1922,We shall discuss the contentions advanced by brief and in argument.,Others
2649,He called several witnesses to show that when he was arrested later that night no narcotics or money was found on his person.,Facts
836,"Dr. Homer B. Woodward, Jr., testified that he was a medical doctor and a resident in obstetrics and gynecology at Hermann Hospital, and that he examined the complaining witness, Jo Ann",Facts
1958,Where did he call you to come?,Facts
3120,Beavers also obtained a check belonging to Johnny Jordan who lived in Little-,Invalid
2328,Unequal treatment of persons under a state law which is founded upon unreasonable and unsubstantial classification constitutes discriminatory state action and violates both the state and federal constitutions.,Rule/Law/Holding
1078,"It is further contended, that in the absence of a showing that the statement was not a part of the res gestae, no error is shown under the rule followed by this Court in Garland v.",Invalid
1323,"State, 320 S.W. 2d 139, holds â€œthe exercise of discretion is measured by the time the jury have been kept together, considered in the light of the nature of the case and the evidence.â€",Invalid
2526,"The box, when recovered by the officers, was found to be a case of Thunderbird Wine which the prosecuting witness identified by certain serial numbers thereon as the case of wine missing from his store.",Facts
2125,"There is no dispute as to whether they were there or not, he just testified he didnâ€™t see them.â€",Facts
6,"""When a statute, either alone or in conjunction with another statute or statutes, infringes on constitutional rights, this court has an obligation to make every effort to salvage the statute by an appropriate exclusion so long as legislative intent will not be frustrated thereby.""",Facts
1717,"The weapon, a doubled cable bound with tape, does not taper at one end as a whip, and therefore would not be properly usable to discipline animals.",Facts
3041,"After the motion for mistrial was overruled, the prosecutor continued, “You are not going to degrade him and you’re not going to ruin his life.",Facts
835,Does the judgment show a conviction on her?,Facts
928,"He further testified that his diagnosis was probably traumatic vaginitis, which meant inflammation or injury to the vagina.",Facts
2833,"The evidence was undisputed that on the date alleged, the appellant, while driving his automobile upon a public street and highway in Harris County, was involved in a collision with two other automobiles.",Facts
3392,"The term “delinquency” is defined as meaning any act which tends to debase the morals, health, or welfare of such child and includes, among other acts, “drinking intoxicating liquor” or “going into a place where intoxicating liquors * * * are kept, drunk, used or sold.”",Facts
1408,"The arresting officer also testified that he found some 19 bottles of beer in the pickup driven by appellant, and from his breath and actions he assumed that appellant drank the 5 bottles of beer missing from the 24 bottles case.",Facts
2252,We are cited to no authority holding that the defendantâ€™s sworn application for suspended sentence constitutes proof requiring the submission of the issue to the jury.,Rule/Law/Holding
991,I think the State has a right to explain what the injuries were.,Facts
2001,â€œ(b) Each candidate whose name appears on the ballot at a first primary election or a special election and each opposed candidate whose name and whose opponentâ€™s name appear on the ballot at a general election,Invalid
3241,"On February 14, 1961, judgment nisi forfeiting said bond was entered in Criminal District Court No. 2 of Tarrant County when said cause was called for trial and the defendant, Willie Mack Daniels, failed to appear.",Facts
1439,"The conviction is for the unlawful possession of morphine, a narcotic drug; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment.",Rule/Law/Holding
2206,Complaint was made by the appellant to the evidence elicited by the question and answer for the reason that the evidence showed that he had shot the deceased on a previous occasion.,Facts
403,At issue is the regulation of speech.,Issue
2891,"The state answered, controverting appellantâ€™s motion, and in support of its answer attached thereto affidavits from all seven of the jurors who testified in the hearing upon such motion.",Facts
2214,The contention made by appellant was properly determined by this court contrary to the appellant in the case of Bell v.,Invalid
1339,Such omissions constitute an undue restriction upon appellantâ€™s defense and call for reversal.,Analysis
954,He then returned to the automobile and got in the front seat with appellant and Matthews.,Facts
215,It reads as follows:,Others
2890,The state also introduced in evidence certain,Facts
2837,"The grand juror testified, without objection, that the appellant had appeared before the grand jury and had been told that he did not have to testify but was free to leave which he declined and then he was handed his written statement which had been introduced in evidence by the state.",Facts
451,It is further ORDERED that plaintiff pay to defendants their costs.,Conclusion
1017,"In fact, on cross-examination the prosecutrix testified several times that she was not threatened nor were any threats made upon her life by the appellants.",Facts
2669,"He stated that he observed a number of open beer bottles on the floorboard of appellantâ€™s automobile, that appellant had blood on his face, and, from his observation of appellant, expressed the opinion that he was intoxicated.",Facts
3284,The appellant did not testify or offer any evidence in his behalf.,Facts
3283,The answer urging invalidity of the bond for the various reasons assigned did not constitute a plea of non est factum.,Analysis
142,It would seem inequitable for this court to bind defendant to the two (2) month requirement for response when due in part to clerical error by the clerk the summons was served in a defective state.,Analysis
2222,The undisputed testimony is as follows:,Invalid
426,(g) Sue or be sued in its own corporate name subject to the limitations and provisions of [the Government Claims Act. ],Rule/Law/Holding
1837,"Under the rules above stated, the check in the instant case was clearly an instrument which could be the subject of forgery.",Analysis
510,"453, 341 S.W. 2d 936, we held that a variance as to one digit in the cause number of the prior conviction was not fatal because appellant had stipulated that he was the person convicted in the prior",Invalid
1943,"When he got inside the trailer house, the appellant had a butcher knife in his hand and was trying to stab his father, whom he had down on the bed, and his fatherâ€™s hand was bleeding.",Facts
2104,Later she â€œsaid she was going to get something to drink from somebody and I asked her not to.,Facts
167,1102 (1979).,Invalid
2184,The transcript was filed in this court a year later.,Facts
616,"And, how was his walk at this time?",Facts
781,"Before he got back to the intersection his car stopped and, because the battery was dead, he was unable to start it, so he walked to the intersection where he encountered appellant and his two companions who asked him what was wrong.",Facts
1109,"J. Karalis, of the Houston Police Department, testified that on the night of November 5, 1980, while on routine patrol, he stopped at the Rose Kitchen, located in the City of Houston ; that he observed appellant â€œstaggeringâ€ in his walk and upon engaging appellant in conversation, noticed that he talked with a â€œthick tongueâ€; that appellantâ€™s breath smelled of alcohol; that in his opinion appellant was at such time drunk; that he placed appellant under arrest and a search of his person revealed a .38 caliber â€œsnub noseâ€ revolver in his trouser pocket.",Facts
1843,"Upon his plea of guilty before the court, a jury being waived, appellant was found guilty of assault with intent to murder with malice, and assessed a punishment of 15 years.",Facts
2530,"On cross-examination, appellant testified, without objection, that on January 27, 1959, he was convicted upon a plea of guilty in the same court of the burglary of another liquor store.",Facts
2090,Appellantâ€™s statement that the room was his was admissible as res gestae because it was made during and coincident with the search of the house.,Facts
2457,With such contention we agree.,Others
1769,"They may look to all the evidence in the case, that offered by the appellant as well as that offered by the state, in determining whether the accused is guilty of the offense charged.",Rule/Law/Holding
1242,Punishment was assessed against each appellant at confinement in the penitentiary for fifteen years.,Facts
2968,We find no merit in appellantâ€™s contention that the evidence is insufficient to show that she possessed the capsules of heroin because the testimony showed that she only had them in her possession for approximately 25 seconds before delivering them to the stateâ€™s witness.,Conclusion
2793,"Testifying in his own behalf, appellant admitted driving his automobile on the occasion in question and admitted having consumed two beers prior to the collision, but denied that he was intoxicated.",Facts
272,"On November 26, 1979, a Motion to Suppress was scheduled in the Superior Court in People of the Territory of Guam v. Larry J. Flores, (S.Ct.",Invalid
596,An analysis by a chemist of the substance in each of the cellophane papers showed that it was 36.5% pure heroin.,Facts
1118,"Kindred asked appellant if he wanted to make a written statement concerning his connection with the homicide, and appellant stated that he had tried to contact his lawyer, had been unable to do so and wanted to talk to his father.",Facts
2187,"As amended in 1959, said section further provides that the judge trying the cause may extend such time â€œand the approval of the statement of facts",Invalid
2483,No formal bills of exception were filed.,Facts
2521,"At such time, the appellant had a bottle in his pocket and one of the men was carrying a box.",Facts
1592,"The operator of a nightwatching service in the city passed through this same side street shortly before midnight, or thereafter, and observed appellant standing by the side of a 1956 black Oldsmobile bearing license number RF 9234 and observed appellantâ€™s co-principal Joan Brock seated therein.",Facts
2,"Thus, before reaching any federal constitutional issue, this Court must first decide the effect under Guam law of these two statutes when read together.",Facts
1296,"She testified that appellant came into the Brookshire store where she was employed and â€œasked me to cash a checkâ€, that she instructed him to take it to Mr. Kinser, the manager, for his â€œO.",Facts
3304,The court submitted the issue of appellant’s guilt to the jury upon a charge on circumstantial evidence and upon a charge on the law of rape by both force and threats.,Facts
869,Firemen Itson and Irwin and M.,Invalid
2826,The evidence clearly shows that appellant obtained possession of the automobile from the prosecuting witness by the giving of a worthless check.,Analysis
3393,"The testimony of witnesses for the state and for appellant reflects that Deputy Sheriff Williams and Everett were patrolling the Van highway beyond the “Loop” from the city of Tyler when they observed appellant, accompanied by a man by the name of J. W. Lacy, driving a pickup truck and entering the highway from a farm-to-market road “that comes off the Mineola and Van highway.”",Facts
281,"Although the defendant was not technically under arrest and was not interrogated at police headquarters, he was taken .into effective custody so that ""the behavior of .",Invalid
386,"A hearing having been held on 30 April and May 1, 1980 on the petitions that the minor be certified for prosecution as an adult person, and the Court having heard testimony of the witnesses and examined the exhibits admitted in evidence, and the Court having filed its decision:",Facts
2186,"4, V.A.C.C.P., provides that the defendant shall file the statement of facts in duplicate with the clerk of the trial court within 90 days after the date of giving notice of appeal.",Invalid
1969,"While it is true that Mrs. Cummings did identify the shells as the ones taken from her store, she did not in anywise connect the appellant with the transaction.",Analysis
1841,"Upon another trial, this incident will doubtless not arise.",Others
614,"And, during this period of time that you talked with him, what was his manner of speech, how did he form his words and speak to you?",Issue
852,"En route to Tyler, she called their victim and told him she was on the way, instructing him to meet her at the drug store after closing time in order that they might consummate further narcotic transactions.",Facts
1043,In the case of Penn v.,Invalid
2874,The recognizance entered into by the appellant and his sureties does not state that they personally appeared in open court when the recognizance was made.,Facts
1659,"The search warrant, if there was one, was not before the Court in Mapp.",Facts
1243,"Records of the Driver and Vehicle Division of the Texas Department of Public Safety showing the issuance of a license to â€œMorris Sheppard Jean who is described as a white male, gray eyes, brown hair, 175 pounds, 5 feet 11 inches tall, born on June 7, 1912, and whose address is listed as Route 3, Hamlin, Texasâ€ were introduced without objection.",Facts
2054,â€œTHE COURT: We will sustain that objection.,Facts
1096,"It was not necessary for the information to say that the acts of defendant were contrary to the statute, when the facts alleged of themselves showed that they were contrary to the statute.â€",Analysis
772,"At the trial, appellant objected to the admission of the evidence showing the search and the results thereof for the reason that the search warrant was void.",Analysis
1870,We do not find in appellantâ€™s confession any statement which would exculpate him.,Analysis
1338,Such motion was by the court denied.,Facts
362,"Further, the Act only covers negligent torts, and sovereign immunity is not waived for intentional wrongs of the employee.",Facts
3123,"Both statements were introduced in evidence, certain incriminating portions being offered by the state and other portions of an exculpatory nature being offered by the appellant.",Facts
1062,Informal Bill of Exception No. 2 relates to the courtâ€™s refusal to permit appellant to impeach the Stateâ€™s witness Mary Rowell by showing that she had filed a number of complaints for aggravated assault against her husband other than as testified to by her.,Rule/Law/Holding
162,"Accordingly, it is the ruling of this court that all references to ""husband"", ""wife"", ""him"", and ""her"" in the Civil Code Â§139 are repealed, and that this statute should be read with the non-sex-based term ""a party"" wherever such terms are used.",Conclusion
2182,"If, however, appellant is in position to complain that the venue was not proved because it was not shown that the place in question was in Texas, we find the evidence",Invalid
891,"Furthermore, the court instructed the jury not to consider the argument.",Facts
3002,"â€œJames Lyles and myself left Houston about 10:00 P.M. on Friday, October 9, 1959, and from a drugstore located at Navigation and Wayside.",Facts
2401,"The trial was had and the judgment entered August 4, 1960, in the County Criminal Court No. 3 of Dallas County.",Facts
1151,No reversible error is shown.,Analysis
17,"""Though recordation of grand jury testimony is the better practice and is required by judicial order, such recordation is not mandated by (the United States) Constitution.""",Facts
2196,The only major conflict in the evidence concerns whether the killing was the result of an accident or whether it was a malicious murder.,Issue
590,"Also, the charge given was favorable to appellant and the error, if any, was harmless.",Analysis
3049,Appellant also denied that the cigarette lighter and pencil found in her home belonged to him.,Facts
2612,"At the hearing, High testified that he was superintendent of the Gregg County Road Department, had stopped at Englishâ€™s store in said county, when appellant approached him complaining about how fast the county trucks were traveling as they passed his house, and informed him that if he (Hight) didnâ€™t stop them from going so fast (appellant) would do so and said, â€œI mean just that.â€",Facts
2198,"Testifying in his own behalf, the appellant claimed the killing was accidental.",Facts
1325,"State, 44 S.W. 173, said, â€œIf the law did not give him authority to carry it, the advice of other persons that he could would not justify defendant.â€",Rule/Law/Holding
1526,The jury chose to accept the testimony of the Stateâ€™s witnesses and to reject that of appellant and we find the evidence sufficient to sustain their verdict.,Analysis
1579,The offense report appears in the record.,Facts
1010,"In addition, the threats must be of such nature as would operate upon the mind of the prosecutrix to such an extent to cause her to yield to the attacker.",Analysis
2687,"If appellant was driving the 1951 Ford, he complied with the first requirement of Art. 1150 P.C. and Art. 6701d, Sec.",Analysis
